skl-a-43.rc.rit.edu
Processing 126...
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6400, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 270}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6402, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 300}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6409, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 140}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6409, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 150}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6405, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 160}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6385, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 170}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6398, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 180}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6395, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 200}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6413, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 230}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6424, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 255}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6420, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 270}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6418, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 300}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6394, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 140}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6402, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 150}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6388, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 160}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6372, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 170}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6361, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 180}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6361, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 200}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6378, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 230}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6383, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 255}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6385, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 270}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6388, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 300}
Mean Test Score for NoAdaptCost Gulf 2100 SSP_126: 0.6382, Parameters: {'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 140}
